     0      4      0
     4      8      2
     8     12      0
    12     16      3
    16     20      0
    20     24      0
    24     28      1
    28     32      5
    32     36      5
    36     40      4
    40     44      7
    44     48     21
    48     52     25
    52     56     30
    56     60     33
    60     64     34
    64     68     40
    68     72     29
    72     76     21
    76     80     19
    80     84      9
    84     88      5
    88     92      6
    92     96      1
    96    100      0
